TEAM NAMES,Series Number,Filename,Name,Description,Gender,attributes,UUID,HASH
,27,ade-omo-yoruba,ade omo yoruba,Ade is an influential man and he is revered in his town.,Male,hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothings: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination;,92984fa0-310b-4377-8a10-15965d044383,2920f225eb69c60f100d303cd99fe70f86ef375a9075e71c7643188db191f765
,28,shola-cool-kid,shola cool kid,Shola prefers to be alone because he hates stress.,Male,hair: none; eyes: none; teeth: none clothings: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful,3ac5c186-bc14-4eb6-8567-cc818465a64f,f6f116b71e6fd076c6fc7635a0a1372f53635bb526f5f17b5a920b115f8c8eeb
,29,charlie-the-smoker,charlie the smoker,Charlie uses smoking as a coping mechanism.,Male,hair: none; eyes: black; teeth: none; clothings: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible;,71a0aa22-d111-43b7-8484-43d87310bc42,af5e07da3ed2de831a2bbcd487142844fceac71dc034e357b6b36cfe162cf248
,30,femi-the-badguy,femi the badguy,Femi is one of the fliest guys in Lagos.,Male,hair: orange; eyes: black; teeth: none; clothings: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance;,e493e3fb-a8a0-455a-854f-0f6474bbc69f,ae6acb918572da0aeca8a62af6cf2a71dc0e5c42b818a4b1a88b25c0f964557b
,31,sinzu-money,sinzu money,Sinzu loves spending money on flashy things.,Male,hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothings: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ;,942f8347-9932-4331-bd15-d0f3a048b54f,26995de77dec40724aabf6d91dffef2fee2ac1814911d391c407fc399f8df44a
,32,obinna-the-palmwine tapper,obinna the palmwine tapper,Obinna taps palmwine for a living.,Male,hair: none; eyes: black; teeth: none; clothings: yellow; black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive;,0f1af056-2548-4407-bed4-abc11deae05d,c151d5ebfe6c951f2e5a1dc5ba77dc27edcecd06c4f695482690a10a2dfb63d5
,33,aminu-maikudi,aminu maikudi,Aminu is a wealthy man from a family with generational wealth.,Male,hair: none; eyes: black; teeth: none; clothings: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness;,0129e7a5-e3d0-4675-92d0-1a1e55d11612,a1249dde8a5b1039972e6674adb6758fe318a748fa1947826bc7d4eaf88ff3e7
,34,sabinus-the-town crier,sabinus the town crier,Sabinus delivers messages to his town people.,Male,hair: none; eyes: black; teeth: two white teeth with diastema; clothings: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience;,01d4ce96-818e-44b1-8813-68a7d34b35ba,841eacff9f56a63a6fcb8922d5204bf7be4dfea7a87b9eaaa919364921f94059
,35,adisa-ibadan,adisa ibadan,Adisa is an elegant man and he is adored by his people.,Male,hair: none; eyes: black; teeth: none; clothings: kente accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy;,3a925f27-35f6-4dbf-9960-c6527fae5f3e,d79ea2865f5073e8a6aa4eef68e4a83c4643ca1c712f5b4ea534e2f23f94736b
,36,linda-the-navigator,linda the navigator,Linda knows how to make a way for herself and the people around her.,Female,hair: blonde; eyes: none; teeth: none; clothings:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure;,71f335a6-5a4f-4410-9cea-179336f0e498,49ec5ba76bdb42158b92fbdbcce75e5dcb1186e1b5b9d6e1f8c410f9264081cc
,37,kemi-the-iron lady,kemi the iron lady,Kemi the strongest woman known to the town of Igbede people.,Female,hair: ginger; eyes: none; teeth: none; clothings: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist ;,35b11a31-5b92-49f4-8fb1-30f255d22054,f07efd1093f222e23e38c99c4a5a0db212b8686708828ff620d7ee37908664d9
,38,mercy-the-sassy lady,mercy the sassy lady,Mercy is a confident woman and never hesistate to show it.,Female,hair: brown; eyes: none; teeth:none; clothings: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive;,7a3c70ac-927f-4a63-a3df-ab86dd27cd0f,38fb65b655b5a834d9d4d051cbfb448f90533805775d442a6ba38ceadd8bd7c3
,39,sandra-money,sandra money,Sandra likes getting and spending money.,Female,hair: brown; eyes: none; teeth:none; clothings:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker;,1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca,579859609806368af17b43f5c2892ef297765abdc7b2f4b860514529e0c952e9
,40,bimpe-the-fashionista,bimpe the fashionista,Bimpe loves wearing trendy clothes and looking gorgeous.,Female,hair: blonde; eyes: none; teeth:gap teeth; clothings: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination,92b548b7-998b-46b6-8198-80d407209483,be9e056a5403f8168308931f8cabe185dfdf1c4025b62deb11ffa15094f02f89
TEAM ENGINE,41,kim-rich-aunty,kim rich aunty,She loves spoiling her nieces and nephew.,Female,hair: pink; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food;,3344a73c-f15e-4afd-a1b2-3199e27eb08f,d5ea3ad36df0a81e23a5c7a6b645c49df764adb06dbc6c1ee4b8bc5b6da64fcd
,42,barbra-stark,barbra stark,She loves fine dining and spends time with family.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength:brave; weakness:food;,4f31fd99-4918-42a9-a112-fa60ef36d5c6,d0f5d8e45ce2bf734e4220eb7c39a3334ecb7a8ed5f6079b1d8eb1f16c6f9538
,43,jean-art-dolger,jean art dolger,Loves collecting art for charity.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: creative; weakness: food;,5e1105d9-e485-462d-a5bf-1eb931976b13,7234d83b25e36c7dd9c3f2f7836e5a9a1ad29ff6ea0a0d79b5b14f705f1903c2
,44,flora-burger- eater,flora burger eater,She loves eating burgers.,Female,hair: blue; eyes: brown; teeth: gap; clothing: stripes; accessories: none; expression: frowning; strength: prayerful; weakness: food;,054dffd1-cdff-417b-b6c2-a679dabd087b,ce31d25dd543cfb0289a00ad479146228d24d76bdf378d37e0f6034af84335d2
,45,jessie-lord-rings,jessie lord rings,She loves her  (precious) jewelry.,Female,hair: blue; eyes: brown; teeth: none; clothing: satin; accessories: none; expression: smiling; strength: kind; weakness: shy;,caacabe1-0abc-43af-92e2-2231248bff93,5d506045be3025ffe33b21534616d727f416477960dcc9a2e1ec4ddaa120bedd
,46,pinky-monky-ponk,pinky monky ponk,She love to dance the honky tonk.,Female,hair: maroon; eyes: blue; teeth: none; clothing: linen; accessories: none; expression: smiling; strength: brave; weakness: chips;,bd6a4b38-543e-40fa-9153-f7e1a947ebb1,781dc2e83691ab1be9ff06146d1c3000ffc8ebc3ec22ad3f7a9d0a8ac4486b59
,47,wanjiru-hippie-glitter,wanjiru hippie glitter,A hippie that loves her glitters.,Female,hair: blue; eyes: brown; teeth: none; clothing: wool; accessories: none; expression: smiling; strength: none; weakness: babies;,683f0d27-3cb4-4948-b1b5-09f10bee575a,387fb7a02da0c33a29d4abec9591384e23376d2f9a4f373bb9f5c11c283d803e
,48,njoki-binary-coder,njoki binary coder,She codes with the best language and tops the set.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: none; weakness: none;,9b59bdb4-0c6c-4107-9d72-6d38d308edb4,0a12813013571f801c715f462af2af311dda90c199382f290bf6b338a78d8ce4
,49,wangu-calaba-hustler,wangu calaba hustler,She is a passionate hustler you should be careful with her.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: flying;,67f7da93-3925-4def-b660-58f558c14a19,917f7508c59a1682b706d452afc8ad09bf23334e17d8b3eb22b08f67db119b0b
,50,lulu-dey-kpako,lulu dey kpako,She's is as enthusiastic as she is beautiful.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: loving; weakness: makeup;,23b6c38f-ab84-4565-bfe9-d9eb019c9f29,d3c6d43d095ba14ec7b439a1f18230341b5d8f5ef2187fe92e477b08d217fbc5
,51,kiki-cala-flier,kiki cala flier,She flies first class and gets the best deals.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: kittens;,d24aefff-c9fc-4ea9-a7cf-1b741076c822,536a0f991c4c4090b5dcc1755bc93b5fa1aa39f1fb6051831d9c40b884ad1398
,52,purity-nft -investor,purity nft investor,She is an angel investor looking for the next big thing.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: clothes;,ee86ef77-4793-411a-88d3-ea54d84f6b24,c4fa316582a5799e1c570368a0db293bc67b3cdcb076e8ff855c4bd98ca89569
,53,june-binary-monk,june binary monk,She has a twin from Tibet and they always play together .,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: money;,102c4cdb-f812-44fd-bf47-5065284c6075,70c108c17dfd2860413a63d64444cbccdef55193d8a9dbc425e3d2a7ba22acb0
,54,aisha-flying-damsel,aisha flying damsel,She is always a damsel in distress and loves to fly.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: food;,c4071af3-b49e-4ad6-898b-7828f90465fb,51bf78a850f38426b2322514d0f07980e5b955cad296798765368e1a931b83a9
,55,bobo-crypto-lovely,bobo crypto lovely,She is a crypto guru you can trust all through.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: water;,427ea0f5-30a3-4d70-a5bd-a6106409b83c,2625b2d58316b5288a5f650c19b3f2c89f64ec4f985abf790770eb23aed641e8
,56,nell-light -embrace,nell light embrace,She is an empathy ready with a kind word or hug.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: love;,9dfe30b4-c71a-471c-8091-f5c4a238eed8,abcdca6cad704aa2155b758622ea575ea6eaccd9a237c2b81f5e7eabe08bea71
,57,rachel-mood-silent,rachel mood silent,Introvert  to the core a mysterious lady.,Female,hair: blue; eyes: brown; teeth: none; clothing: ankara; accessories: none; expression: smiling; strength: brave; weakness: walls;,11450acd-f0d7-406f-bc18-bdb680404845,3fe2566b3dade7439f94bca17da6973e374e59860e837f3fdb89124fa6cf7b41
,58,nana-reflector-agent,nana reflector agent,She loves her chrome fashion style.,Female,hair: pink; eyes: blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength: brave; weakness: shy;,63bda633-bfca-4b28-823f-7772936b4103,646489c4142e8cf821a03245632551f7a65ce94a165050cd512249e51266567b
,59,bree-busy-gossip,bree busy gossip,Never whisper your secrets to her except you want the world to know.,Female,hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height;,4f5898d9-fc99-4053-a56c-b2ec1ef41347,d656f8ddc5f9f45788edf07707bbe08f7a04c644fdff97ad6a5401fd6e2e52ad
,60,jude-shadow-fighter,jude shadow fighter,A ninja warrior; the last samurai standing.,Female,hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water;,a47b2ed7-d4aa-4404-ac40-0ecea464cf3f,a3249d07c25be8091d906413e25a4b02b239dc3c40514f96a40ad4299479c968
TEAM GRIT,61,toy-soldier,toy soldier,A man stronger than an army.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strengths: powerful; weakness: sentimental;,fc8ea3ac-59d1-11ed-9b6a-0242ac120002,403bced83ba76c656d7d7d00736c8f79ef00c88dda2878a403b1f468cd0e3c33
,62,pipey-rivers,pipey rivers,A man who loves the water so much and fixes it's path.,Male,hair:bald; eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strengths: calculative; weakness: public speaking;,58f69cae-59d1-11ed-9b6a-0242ac120002,1c27935c7fcca397fd19a52b773bcd5f9ae8788d75a4d22ac4e48117e66e0ee1
,63,phiri-of-zambia,phiri of zambia,An african woman with strength and beauty.,Female,hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strengths: free spirit; weakness: blind ;,24b537fa-59d3-11ed-9b6a-0242ac120002,a9df73f1bb9d4200bd83b4803f52807a331525bbb2a3ff0edd9a878ee5db3d33
,64,patrick-of-bikinibottom,patrick of bikinibottom,A white man who loves the african culture and associates with their dressing.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strengths: adaptation; weakness: fluency;,064c7b84-59d3-11ed-9b6a-0242ac120002,fb9bddcecee33978e8485c21e642035f24615e6fdaaade473e2c7125335877d3
,65,nobuhle-of-zulu,nobuhle of zulu,A woman; well endowed with beauty.,Female,hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strengths: cool headed; weakness: pressure;,1ee5b1ce-59d3-11ed-9b6a-0242ac120002,921eb13d6a701c2db344cdbe728410335b3e4fcf6dde7df259f645fac954a232
,66,nkosazana-of-xhosa,nkosazana of xhosa,An african princess; always proud of her culture.,Female,hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strengths: confidence; weakness: endurance;,2f1a1724-59d3-11ed-9b6a-0242ac120002,d60ed6edf1e663231dd368644243daab7b08f930cea84896606390e6bc0cb74d
,67,mandla-of-zulu,mandla of zulu,A simple and introverted guy who keeps to himself.,Male,hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship;,d04553b2-59d7-11ed-9b6a-0242ac120002,14c7ec1acf85ac189501d40c46b877708d7a03f828c3cde717022c2f7d66f072
,68,john-doe,john doe,A principled guy who is conscious of his health and ensures protection from infection.,Male,hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expressions: cold; strength: cleaniness; weakness: perfectionist;,5d19795e-59d2-11ed-9b6a-0242ac120002,86ff329535e8112e6f3174cefc5b0c362c01c63cd765c12c9ccd2502eac609a6
,69,ghost-of-power,ghost of power,A woman; stronger than ten men combined.,Female,hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer;,29c764ca-59d3-11ed-9b6a-0242ac120002,02be467d3864d26769c42b2fed956578f2ccf118c6d432394766824d305dc217
,70,freida,freida,A man who is always peaceful.,Male,hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger;,ee671c4a-59d2-11ed-9b6a-0242ac120002,9cc026ddc325d766ae43400c49de9725cfb9533c2cf71654c836e2f3d0690810
,71,flamboyant-tree,flamboyant tree,A beautiful african woman; billionaire in the making.,Female,hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl;,380e4990-59d3-11ed-9b6a-0242ac120002,a67b8e96f4a389826f124af0f82c4b00db49fc1e832155dbf0bec8f2fd9d087f
,72,david-of-accra,david of accra,A combatant who fights and defends his people,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping;,1c1ef1b4-59d1-11ed-9b6a-0242ac120002,c65aea68259693463efac997c8a5bfe4ece309ecbeb4ec37a10b7c169ab0c1b7
,73,cally-lily,cally lily,A man who is a breathe of fresh air.,Male,hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun;,82bba87c-59d1-11ed-9b6a-0242ac120002,df926e5f72f0c2f883115189d23df658f94f02409afacac6124e32424f46dbca
,74,bubune-of-accra,bubune of accra,A man with honor; always conscious of his health.,Male,hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie;,faa4b530-59d2-11ed-9b6a-0242ac120002,dbf975482b56370051b658818d243fe2535199272ef359f55c4b9d5b062e8909
,75,bediako-of-accra,bediako of accra,A strong man; always ready to fight for what is right.,Male,hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational;,fb6e8222-59d0-11ed-9b6a-0242ac120002,86145b27f93b7930ff273b461664a6d91dd74e79bdb8a397942faeeaa7cefc0a
,76,avatar-aang,avatar aang,A man who is ready to save the world.,Male,hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia;,169f93a0-59d2-11ed-9b6a-0242ac120002,b76e1ff60cede95e4d6102f35fceb4a9ace5046fce573da98907cc122787a549
,77,argus-greek,argus greek,A man who you will always find on the look out.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness;,e7f26b26-59d2-11ed-9b6a-0242ac120002,b95bdf739c09681e66649d4e30a8542579eacfe6ef4176ccce0a035f6282e48b
,78,amahle-of-zulu,amahle of zulu,A traditional man; feeling fulfilled.,Male,hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist;,169f93a0-59d2-11ed-9b6a-0242ac120002,e35f8af7b43b5e16bf62b69d07ff59735e5563048982b4ec57363f2a9c5df509
,79,agnar-ole,agnar ole,A man who feels like an outcast and always has a battle with his mind.,Male,hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: furious; strength: strong willed; weakness: crying;,f3f11fd0-59d2-11ed-9b6a-0242ac120002,804ef2996d9130e7274c8adcf85f5c907c36b595b9f380734efbc73372945cbe
,80,adom-kulu,adom kulu,A ghanaian model; proud of his culture.,Male,hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: irritated;  strength: height;  weakness: pride;,00f6589e-59d3-11ed-9b6a-0242ac120002,e02b964c70469f7d0ed8a8380fccb9e7f0da7eda7ec960cf9956217b9d46daf4
TEAM PRYBAR,81,segun-baller,segun baller,A man who loves to have fun.,Male,hair: black; eyes: black; teeth: none; clothing: kente; accessories: glasses; expression: cool; strength: jovial; weakness: nonchalant;,58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,b0a29e3fa1ecfe940a74ec8cb7aa340f3f8c5de027c01c63eb7c67f9c958b264
